번호,기업명,고객 세그먼트,점수,가치제안,점수,마케팅 채널,점수,고객관계,점수,수익원,점수,핵심활동,점수,핵심자원,점수,핵심파트너,점수,비용구조,점수
473,㈜김엔고시스템,"국내 가전회사, lg전자, 삼성전자, 해외 가전 회사
OFF-LINE 매장 중심",C,"신뢰와 품질(기술력)
저렴한 가격경쟁력
생산 공장과의 협업-신제품 개발, 기술력 향상",C,"인적 자원의 네트워크
개별 영업",D,"기존제품과의 가격 경쟁력 및 기술
고객이 원하는 제품 개발 및 수배",E,"제품 판매 대금
무역중개 수수료
제품 중개수수료",C,"인적 관계 형성
다양한 네트워크 (인적 및 물적(생산 공장)
신상품 발굴 및 개발
가격 경쟁력 확보",C,"기술과 시장 트랜드 파악, 인적네트워크, 기술 제품과 사용자 간의 연결",E,"생산공장
바이어",E,"영업비
운영비
샘플비
유통비",E
474,하나은행,"은행업무를 이용하고자 하는 전국민(롱테일전략을 겸함)(B2C)
세그먼트는 첫 금융소비자 20대이하, 주경제인구인 3040세대, 자산보유 5060세대
신용공여가 필요한 기업(법인, 개인사업자)
수출입 금융 컨설팅이 필요한 기업",A,"자금 중개기관으로서의 사회적 가치 창출
빅데이터와 AI를 활용한 고객 개인화 경험 창출",C,"스포츠마케팅 활용(하나원큐)
오프라인 점포
SNS 및 블로그
온라인 통합
TV CF 등 ATL, BTL 모두활용",A,"IMC전략을 통한 강력한 브랜드 마케팅
정부정책기관과의 연계를 통한 마케팅(기관출연 자금을 통한 MOU)
각종 금융상품(여신, 수신) 맞춤기획 및 목표고객에 대한 SMS, 우편 마케팅
신문, 뉴스를 통한 회사 PR",C,"수신금리와 여신금리의 차이를 활용한 예대마진(88%)
방카슈랑스, 펀드, 신용카드 등 비이자이익 (12%)",C,"고객의 니즈에 맞춘 다양한 상품 설계
금리, 대출한도 등의 가격경쟁력 확보
빅데이터와 AI 기술을 활용한 개인화 경험
친절하며 전문성 갖춘 금융인력을 통한 영업
기업 재무설계와 수출입 금융 컨설팅을 통한 영업",B,"전문지식과 영업력을 갖춘 금융전문인력보유
자금 중개기관으로서의 운영경험(여수신, 결제망 운영, 자금세탁방지, 고객확인의무 등)
50년이상 축적된 금융거래 데이터
전국 각지에서 운영중인 오프라인 은행지점망",D,"금융감독원, 기술보증기금, 신용보증기금 등 정부관련 기관
LG CNS 등 IT 기반 시스템 구축 업체",D,"인건비, 마케팅비용
오프라인 영업점 시설 운영
데이터 서버운영비, 사무실임대료
예금수신금리 차이",D
475,동문건설㈜,"공공주택 분양을 원하는 20~60대 소비자
재건축조합
업무시설공사(자사의 사옥공사를 하고자 하는 대표이사)
한국토지주택공사",C,"뛰어난 품질과 기술력으로 소비자에게 최고의 주거공간 공급
적절한 분양가 및 인테리어 제공
맘스테이션이라는 슬로건을 통한 엄마 친화적인 단지 제공
끝까지 책임지는 하자처리",A,"분양 홈페이지, 사무실, 인터넷 배너 운영
모델하우스 오픈 및 운영
청약을 통한 운영",C,"타사 모델하우스 견학을 통한 업계 흐름 파악
주택분양팀 및 홍보팀을 통한 회사 PR ",E,"공공입찰공사 입찰 후 공사대금 수령 
민간도급공사 도급 후 공사대금 수령
자체현장 분양을 통한 분양대금 수령",C,"시행사 및 민간 공사를 원하는 건축주와의 협의를 통한 도급공사 계약
적절 입찰가를 통한 공공입찰공사 입찰
사업성 좋은 입지 결정 후 자체분양현장 개설",C,"오랜 공사 경력을 가진 기술 인원들
영업, 개발, 상품설계, 공사팀 등 각 건축 분야별 오랜 경력을 가진 인원들
수십만 세대를 분양한 업계 능력",E,"LH등 공공입찰관련 회사
각 공정별 협력업체",D,"토지 매입비
개발관련 선투입비
단지 설계 및 인허가 관련 비용
착공 후 투입 공사비
분양관련 홍보비
준공 이후 하자관련 유지보수비",B
476,㈜이타임테크,이동통신사와 금융기업입니다,C,IT 기반의 H/W 공급과 서비스를 제공하여 안정적 운영을 지원하고 있습니다,D,자체 영업조직에서 개별 영업을 진행하고 있습니다,D,고객의 요청에 따라 당사 영업부와 목표고객과의 제품관련 기술세미나를 통해 고객의 니즈 파악,D,"경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령
제품 판매 및 공사비 수익",C,기존 거래를 하고 있는 목표고객에서 신규 프로젝트 진행에 필요한 협의 요청 시 당사 영업팀에서 대응 활동,E,5년 이상 경력 가진 핵심 맨파워,E,"당사는 IBM, 레노버 등 IT기업의 비즈니스 파트너 수행",B,"인건비
외주개발비
데모장비 구매비용(선 투자)
운영비
영업비
데이터 서버운영비",D
477,서울우유협동조합,"고객센터(대리점) – 1차 고객
유통점(온,오프라인), 지역 판매창구(슈퍼, 목욕탕 등등)   2차 고객
우유, 발효유, 음료, 치즈를 소비하는 소비자
서울우유의 온, 오프라인 판매 : 서울우유 및 OEM공장에서 제품을 생산, 판매를 위하여 서울우유 고객센터(대리점)에 상품을 판매 혹은 위탁, 고객센터는 상품을 할당 지역 목욕탕부터 대형 유통점까지 납품, 일부의 경우 서울우유 물류 차량을 통하여 유통점 창고에 직접 배송하는 경우 있음(전국 8개 쿠팡 물류센터는 서울우유 직접 납품)",A,"서울우유협동조합(이하 서울우유)은 농업협동조합법에 의해 낙농업을 경영하는 조합원에게 필요한 기술·자금·자재 및 정보 등을 제공하고, 조합원이 생산한 축산물의 판로 확대 및 유통 원활화를 도모하여 조합원의 경제적·사회적·문화적 지위를 향상시키기 위해 노력하고 있습니다.
농업협동조합법에서는 농업인의 자주적인 협동조직을 바탕으로 농업인의 경제·사회·문화적 지위를 향상시키고, 농업의 경쟁력 강화를 통하여 농업인의 삶의 질을 높이며, 국민경제의 균형 있는 발전에 이바지함을 위해 조직한 단체로 정의하고 있습니다",A,"고객 직접 영업, 직영대리점, 광고주, 개인 인맥, 블로그, 홈페이지, 유튜브, 직영매장, SNS 등
우유 : “급식” 어려서부터 우유에 친숙해질 수 있도록, 학교와 군대 등 채널에 집중
발효유, 커피, 발효유 : 인지도가 떨어지는 제품은 위 BEST사례 전 채널을 통해 마케팅",A,"고객 생애 가치를 극대화하기 위하여 음용류 급식에 집중
유통 채널 : 온, 오프라인(이마트 등 대형마트, 온라인 유통채널)에 서울우유 직원 담당을 따로 두어 해당 바이어에게 제품 홍보
일반 채널 : 서울우유 고객센터(대리점)의 할당구역 홍보 및 입점",E,"서울우유 전용 목장에서 원유 구입, 원유의 제품화를 통한 판매이익(90%)
조합원 목장 운영을 위한 구매 사업(7%)
소, 가축을 위한 비료 판매 등
신용사업(서울우유농협은행) (3%) – 수도권 13개 점포",B,"유제품 회사 간 제품 차별화가 거의 불가능
특히, 매출의 대다수를 차지하는 흰우유의 경우 차별화가 더 힘듦
서울우유의 고급화, 친숙화를 통한 프리미엄 우유로 고객 소구
1.	경제사업
가.	가공사업(음용류 판매)
-	고객센터(대리점) 판매 확대 : 지역 할당 판매
-	대형마트(이마트, 홈플러스, 홈플러스 등), 온라인(쿠팡 등) 판매
	서울우유협동조합 – 조합원(목장주) – 고객센터(대리점)의 핵심 연결고리를 중시
-	서울우유 : 제품 개발 및 직접 판매, 고객센터 : 물류 및 판매, 조합원 : 원유 생산 등
2.	구매사업 
-	조합원 판매 촉진 : 지역별 책임수의사, 서울우유 직원의 직접 홍보
가.	서울 수도권 내 8개 센터 보유( 책임수의사, 직원 상주)
	조합원의 생산이나 생활에 필요한 물자를 외부에서 구입하기 위한 OEM 업체와의 협력과
	운반, 보관, 가공하기 위한 서울우유 내 자체 능력
3.	신용사업 : 
-	예금 대출 차익 등 시중 은행과 유사
지역별 수신과 여신을 확대하기 위한 근처 조합원과의 유대 관계 유지",A,"1.	생산능력 : 서울우유 신공장(양주), 서울우유 1공장(양주), 서울우유 2공장(안산), 서울우유 3공장(거창)
2.	제품개발 : 서울우유 연구소(안산)
3.	최고의 원유 생산 및 유지를 위한 목장 관리 시스템 : 낙농지원센터 / 총 8개 센터로 센터당 책임수의사 및 기타 수의사들로 구성되어 목장 컨설팅을 통한 원유 검사 및 생산 지원
4.	물류 및 영업력 : 전국 단위의 고객센터(대리점) : 전국 1202개",E,"OEM 업체 : 우유 제품의 생산 능력 초과시 OEM업체와 협업(외주사)
-	Seoul F&B / 데어리젠 
단입 우유곽부터 2입이상 제품을 감싸는 포장지 개발 업체(900ml 2입 등) 
-	S.H 실업, 동성실업 등
판매 : 전국 대형마트(이마트, 홈플러스, 쿠팡 등)",D," 인건비, 시공비, 재료비, 광고비, 물류비용
 설비투자비, 기술개발비, 몰드개발비, 
 사무실임대료
 건물 및 기계 감가상각비
 인건비(내부 외주)
 운영비, 영업비, 홍보비
 유통비용
 설비투자비",A
478,디에스홀딩스㈜,"오피스텔의 입주를 원하는 직장인
빌라 입주를 원하는 주부나 가장
타운하우스 입주를 희망하는 고소득 전문직",C,"행복한 주거공간 공급
우수한 기술과 품질로 주거공간의 혁신
소중한 시간이 함께하는 힐링 주택 건설",B,"분양대행사
마케팅업체
홈페이지를 통한 광고홍보
SNS 및 블로그를 통한 홍보",C,"분양대행사의 분양 시 고객의 니즈 파악 후 설계반영
신문, 뉴스를 통한 회사 PR
홈페이지를 통한 고객과 소통",C,"시행을 통한 분양 수익
시공 시 원가절감으로 수익 확대",C,"설계사, 시공사와 협업을 통한 혁신주거 문화 창출
철저한 사전 시장조사를 통한 분양가격 결정
토지 구입 전 가설계를 통한 수익분석 
타 업체와 차별화 전략으로 가치창출",C,"우수한 설계사와 협업
건설의 시장흐름을 파악하고 시장을 선도하는 경영진
건설회사, 설비회사 등 관계사를 활용한 건설에 대한 전문성",D,"설계사
분양대행사
시공사",D,"인건비
금융PF 이자
광고비
분양대행비
시공비
운영비",D
479,㈜컬리넌홀딩스,"분양 대행 : 건설사, 시행사, 재건축/재개발 주택 조합
부동산 개발 : 토지주, 설계사무소, 건설사",C,"분양 대행 : 신뢰를 바탕으로 고객 관계 유지 <DB구축>
부동산 개발 : 신뢰, 기술 바탕으로 고객 만족 추구, 우수한 디자인과 고객이 만족하는 주거 시설 공급",C,"시행사, 시공사, 조합 등 고객에게 직접 영업 통한 입찰 참가
개인 인맥을 통한 영업",D,"고객의 요청시
고객과의 지속적인 소통, 관리
식사나 운동으로 고객 확보",E,"효율적인 인력운용으로 예산 절감
광고 및 홍보를 통한 분양율 제고로 예산 절감
시장조사 및 상품개발 제공으로 수의계약을 통한 마케팅 수수료 확대",C,"사전 영업을 통한 입찰참가
발주초로부터 시장조사 요청/보고
마케팅 전략 계획 수립 후 PT 참여",D,"마케팅 기획팀, 영업팀, 경영진",E,"건설사 마케팅부서, 조합장, 시행사대표 등",D,"인건비, 광고비, 사무실임대료, 사무기기 렌탈, 사무실운영비, 기타",D
480,㈜에이시에스,"솔루션 개발 목표고객 : 자동차부품제조 1차/2차벤더, 전기전자부품 제조업, 자동창고 운영업체
시스템인프라 구축 목표 고객 : 자동차손해보험사, 사단법인 손해보험사, 사단법인 생명보험사, 은행연합회 등",B,"제조수행시스템(MES:Manufacturing Execution Systems) : 자동차부품, 전기전자 등 제조기업 등의 목표 기업을 대상으로 전문화되고 특화된 통합생산관리시스템을 구축함 수주에서 완제품 출하에 이르는 전 생산활동을 최적화 시킴 즉 실시간으로 정보수집/집계/분석/모니터링 및 생산공정 제어를 통한 고품질 수익지향적 생산체제를 갖추고자 함 또한 시스템  인프라 사업을 통하여 기업에 시스템자원의 관리 및 구축 및 운영을 지원함.",E,"솔루션 개발 (MES 구축) / 시스템 인프라 구축 / 유지보수 사업 
자체 영업조직을 통한 시스템통합(SI) 직접 영업 
솔루션 세미나 및 각종 전시행사를 통한 홍보 마케팅
벤더를 통한 구매요청에 따른 입찰수행 
조달청을 통한 공공 입찰
홈페이지를 통한 문의 / 제안 
산 학 연 연구과제를 통한 과제수행 및 공동프로젝트 진행",C,"시스템 벤더사 (IBM/HP등)를 통한 고객문의 대응
자사 홈페이지 등 온라인 채널 및 관계협력업체를 통한 문의 및 대응 
지방 상공회의소나 공단 등 연계한 지방로드쇼 (기술세미나/고객성공사례 발표회)",B,"경쟁 입찰를 통한 시스템인프라(IBM/EMC등) 납품 설치&구축, 운영 수익 
시스템인프라 및 상주인력 기술지원 및 통합 유지보수 대금 수익
통합생산관리시스템 컨설팅 및 개발에 따른 개발 인건비 수익",C,"통합생산관리시스템 구축을 위한 사전 컨설팅 및 분석 활동
시스템 인프라 제안을 위한 프로젝트 사전 정보 수집/제안작업
통합유지보수 사업 수행을 위한 현황파악, 분석 등의 컨설팅 활동 및 제안작업",C,"33년간의 구축 레퍼런스와 노하우
컨설팅 능력 및 전문인력 과 특급/고급/중급/초급에 이르는 다양한 개발진 
유지보수를 통한 다양한 고객층 확보
산 학 연 등 및 정부연구과제를 통한 기술 노하우 및 자체기술연구소를 통한 10여종의 기술특허 및 라이선스 보유 ",C,"시스템 인프라 제안을 위한 시스템 벤더사 (IBM/DELL / HP/ 히다찌) -H/W판매 파트너쉽
소프트웨어 개발을 위한 S/W벤더사 (오라클/마이크로소프트) 협력 파트너쉽
연구과제 수행을 위한 생산기술연구소/기계연구원등 연구기관",D,"컨설팅/개발인력/영업인력/연구소/관리인력 인건비
판매를 위한 시스템 인프라 장비 (IBM/HP/CISCO등) 판매물품비
통합 유지보수를 위한 시스템 인프라 장비 데모, 개발장비, 서버자재/부품, 구매, 관리비
지사운영을 위한 사무실 임대료, 본사 운영비 등",D
481,㈜광전자통신,"이동통신사 (KT), 건설사",C,"신뢰와 기술력을 바탕으로 성실시공 고객만족을 추구
주인의식과 장인정신을 바탕으로 맡은 분야를 책임지고 최선을 다하는 기업",C,"이동통신사, 건설사 목표 고객에게 직접 영업을 통한 입찰 참가",D,고객의 요청을 정확하게 파악하여 고객목표에 일치하고 고객과의 협의,E,"수의계약을 통한 공사대금 수령
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령",C,이동통신사(KT) 건설사 등 목표고객과 공정 협의를 통해 적시에 생산하여 현장 시공,E,"경력과 전문지식으로 무장한 시공관리팀, 경영관리팀의 인적 자원
시장흐름을 파악하여 변화를 이끄는 경영진",E,"이동통신사 (KT), 건설사",B,"인건비, 시공비, 재료비
설비투자비, 기술개발비, 
사무실임대료
건물 및 기계 감가상각비",D
482,대림비앤코㈜,"건설사, 설계사무소, 토지주, 시행사
설비회사
LH공사, SH공사, 도시개발공사
직영 대리점
리모델링을 원하는 사람",C,"물사용을 최소화하는 초절수 친환경 제품을 개발하고, 생산하여 자연보호에 앞장선다.
품질, 기술, 고객관계를 바탕으로 신뢰를 구축하여 지속 가능한 제품 공급
주방, 욕실, 도어, 마루 등 주택의 모든 공간에 사용자가 원하는 모든 것을 더 편리하고 완벽하게 제안한다.
토탈 홈 인테리어 브랜드로서 고객의 라이프 스타일을 만든다.
뛰어난 디자인의 욕실 제품 생산 및 완벽한 시공을 한다
끝까지 책임지는 하자처리(A/S)로 고객의 신뢰를 받는다",C,"LH공사, SH공사 등 시행사 및 시공사 등 목표 고객에게 직접 영업을 한다
광고를 통해 연락이 온 구매 희망자에게 제안 영업
직영 대리점을 통한 목표 고객 영업
전시장에 찾아오는 고객에 대해 B2C 영업
블러그 마케팅",C,"고객의 요청에 따라 당사 영업부와 목표고객과의 제품관련 기술세미나를 통해 고객의 니즈 파악
당사 영업부에서 건설사를 상대로 신제품 설명회, 공장 방문 등을 통해 관계 강화
당사 영업부에서 시행사, 건설사, 설계사무소 등 목표고객에게 정기적인 기술적 장점 홍보
유튜브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
욕실관련 이벤트 행사를 통한 고객 목소리 경청
신문, 뉴스를 통한 회사 PR",B,"위생도기 및 타일, 수전금구, 욕실 인테리어 소품 판매 대금 수령
직영대리점에서 소비자와 인테리어 공사를 하고 받는 물품 대금
직영대리점에서 시공사에 납품하고 받는 물품 대금",C,"모델하우스 설치를 위해 시공사에 욕실 제품을 영업한다
건설사, 시행사, 건축주, 관공서 등 목표고객과 공정 협의를 통해 적시에 생산하여 현장 시공
신제품, 시공방법 변경, 공기 단축을 위한 기술 개발로 고객과 지속적 유대관계 유지
당사 영업팀에서 파악한 고객 니즈를 제품개발팀에서 기술 개발을 진행하여 특허 등록
외부 자재공급업체와 공동으로 제품을 개발하여 공동특허 등록으로 기술보유
광고와 인맥을 통해 연락이 온 목표고객에게 영업 활동을 한다.
직영 전시장에 찾아오는 고객에게 인테리어 맞춤 디자인을 통해 영업한다
기존 거래를 하고 있는 목표고객에서 신규 프로젝트 진행에 필요한 협의 요청시 당사 영업팀에서 대응 활동",B,"전문지식과 협상력을 갖춘 시장점유율 1위를 만드는 영업팀, 개발팀, 생산팀, 경영팀의 인적 자원
시장흐름을 파악하여 변화를 이끄는 경영진
핵심업무는 당사에서 보유하고 일부 비 핵심 업무는 아웃소싱을 통해 운영하는 소싱 능력
업계에서 가장 규모가 있는 생산 능력의 공장 및 설비
시장점유율 1위의 경쟁력과 50년 업력의 특화된 욕실 제품 생산 능력
50년을 함께한 당사 유통 대리점 공급망",D,"건설사 개발부서, 원가혁신팀, 설계팀
공공발주처(한국토지주택공사, 서울주택도시공사, 지방주택도시공사)
직영대리점 및 유통대리점
자재 및 원료 공급업자, 중국 OEM 회사, 수입대행사",C,"인건비, 재료비, 노무비, 광고비, 물류비용
설비투자비, 기술개발비, 몰드개발비, 
사무실임대료
건물 및 기계 감가상각비",A
483,계림요업㈜,"건설사, 설계사무소, 시행사
설비회사
LH공사, SH공사, 도시개발공사
전국에 있는 직영 대리점",C,"1943년 환선요업연구소를 시작으로 오늘날까지 최고 품질의 제품을 개발, 생산해온 국내 최초의 종합욕실전문기업으로서, 국내 위생도기의 역사와 함께하며 국내 바스시장을 주도하고 있는 브랜드 가치 제안을 하고 있습니다. 
“자연과 사람을 생각하는 기업”이라는 사명 아래 친환경 제품 개발에 앞장서고 있으며, 국내 최다 환경마크인증(환경부 인증) 제품을 공급하고 있습니다. 
세계적 수준의 자동화 설비를 바탕으로 위생도기, 수전금구, 비데, 욕실장 등 3백 여종의 바스 제품을 생산 및 판매하고 있으며, 기술력과 서비스를 바탕으로 “WORLD BEST KELIM”을 목표로 신제품 개발을 지속적으로 연구하고 있습니다.",C,"LH공사, SH공사 등 시행사 및 시공사 등 목표 고객에게 직접 영업을 한다
광고를 통해 연락이 온 구매 희망자에게 제안 영업
직영 대리점을 통한 목표 고객 영업
전시장에 찾아오는 고객에 대해 B2C 영업
블러그 마케팅",C,"고객의 요청에 따라 당사 영업부와 목표고객과의 제품관련 기술세미나를 통해 고객의 니즈 파악
당사 영업부에서 건설사를 상대로 신제품 설명회, 공장 방문 등을 통해 관계 강화
당사 영업부에서 시행사, 건설사, 설계사무소 등 목표고객에게 정기적인 기술적 장점 홍보
유튜브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
욕실관련 이벤트 행사를 통한 고객 목소리 경청
신문, 뉴스를 통한 회사 PR",B,"위생도기 및 타일, 수전금구, 욕실 인테리어 소품 판매 대금 수령
직영대리점에서 소비자와 인테리어 공사를 하고 받는 물품 대금
직영대리점에서 시공사에 납품하고 받는 물품 대금",C,"환경경영 : 친환경 제품 개발, 자발적 온실가스 저감 노력
경쟁우위 확보:품질 및 원가 경쟁력 확보, 기존 사업과의 연계성을 통한 사업 다각화 추진 
고객만족 실현:IT기술을 활용한 생활문화 가치 제공, 고객의 다양한 NEEDS에 부응하는 제품을 공급
모델하우스 설치를 위해 시공사에 욕실 제품을 영업
건설사, 시행사, 건축주, 관공서 등 목표고객과 공정 협의를 통해 적시에 생산 제공
신제품, 시공방법 변경, 공기 단축을 위한 기술 개발로 고객과 지속적 유대관계 유지
외부 자재공급업체와 공동으로 제품을 개발하여 공동특허 등록으로 기술보유
광고와 인맥을 통해 연락이 온 목표고객에게 영업 활동을 한다. 
새로운 사업영역의 확대, 친환경 기업 이미지의 강화",A,"영업팀, 개발팀, 생산팀, 경영팀의 인적 자원
핵심업무는 당사에서 보유하고 일부 비 핵심 업무는 아웃소싱을 통해 운영하는 소싱 능력
업계에서 가장 규모가 있는 생산 능력의 공장 및 설비
당사 유통 대리점 공급망",D,"건설사 개발부서, 원가혁신팀, 설계팀
공공발주처(한국토지주택공사, 서울주택도시공사, 지방주택도시공사)
직영대리점 및 유통대리점
자재 및 원료 공급업자, 중국 OEM 회사, 수입대행사",D,"인건비, 재료비, 노무비, 광고비, 물류비용
설비투자비, 기술개발비, 몰드개발비, 
사무실임대료
건물 및 기계 감가상각비",A
484,계림요업㈜,"건설사, 설계사무소, 시행사
설비회사
LH공사, SH공사, 도시개발공사
전국에 있는 직영 대리점",C,"1943년 환선요업연구소를 시작으로 오늘날까지 최고 품질의 제품을 개발, 생산해온 국내 최초의 종합욕실전문기업으로서, 국내 위생도기의 역사와 함께하며 국내 바스시장을 주도하고 있는 브랜드 가치 제안을 하고 있습니다. 
“자연과 사람을 생각하는 기업”이라는 사명 아래 친환경 제품 개발에 앞장서고 있으며, 국내 최다 환경마크인증(환경부 인증) 제품을 공급하고 있습니다. 
세계적 수준의 자동화 설비를 바탕으로 위생도기, 수전금구, 비데, 욕실장 등 3백 여종의 바스 제품을 생산 및 판매하고 있으며, 기술력과 서비스를 바탕으로 “WORLD BEST KELIM”을 목표로 신제품 개발을 지속적으로 연구하고 있습니다.",C,"LH공사, SH공사 등 시행사 및 시공사 등 목표 고객에게 직접 영업을 한다
광고를 통해 연락이 온 구매 희망자에게 제안 영업
직영 대리점을 통한 목표 고객 영업
전시장에 찾아오는 고객에 대해 B2C 영업
블러그 마케팅",C,"고객의 요청에 따라 당사 영업부와 목표고객과의 제품관련 기술세미나를 통해 고객의 니즈 파악
당사 영업부에서 건설사를 상대로 신제품 설명회, 공장 방문 등을 통해 관계 강화
당사 영업부에서 시행사, 건설사, 설계사무소 등 목표고객에게 정기적인 기술적 장점 홍보
유튜브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
욕실관련 이벤트 행사를 통한 고객 목소리 경청
신문, 뉴스를 통한 회사 PR",B,"위생도기 및 타일, 수전금구, 욕실 인테리어 소품 판매 대금 수령
직영대리점에서 소비자와 인테리어 공사를 하고 받는 물품 대금
직영대리점에서 시공사에 납품하고 받는 물품 대금",C,"환경경영 : 친환경 제품 개발, 자발적 온실가스 저감 노력
경쟁우위 확보:품질 및 원가 경쟁력 확보, 기존 사업과의 연계성을 통한 사업 다각화 추진 
고객만족 실현:IT기술을 활용한 생활문화 가치 제공, 고객의 다양한 NEEDS에 부응하는 제품을 공급
모델하우스 설치를 위해 시공사에 욕실 제품을 영업
건설사, 시행사, 건축주, 관공서 등 목표고객과 공정 협의를 통해 적시에 생산 제공
신제품, 시공방법 변경, 공기 단축을 위한 기술 개발로 고객과 지속적 유대관계 유지
외부 자재공급업체와 공동으로 제품을 개발하여 공동특허 등록으로 기술보유
광고와 인맥을 통해 연락이 온 목표고객에게 영업 활동을 한다. 
새로운 사업영역의 확대, 친환경 기업 이미지의 강화",A,"영업팀, 개발팀, 생산팀, 경영팀의 인적 자원
핵심업무는 당사에서 보유하고 일부 비 핵심 업무는 아웃소싱을 통해 운영하는 소싱 능력
업계에서 가장 규모가 있는 생산 능력의 공장 및 설비
당사 유통 대리점 공급망",D,"건설사 개발부서, 원가혁신팀, 설계팀
공공발주처(한국토지주택공사, 서울주택도시공사, 지방주택도시공사)
직영대리점 및 유통대리점
자재 및 원료 공급업자, 중국 OEM 회사, 수입대행사",D,"인건비, 재료비, 노무비, 광고비, 물류비용
설비투자비, 기술개발비, 몰드개발비, 
사무실임대료
건물 및 기계 감가상각비",A
485,㈜코아덴탈,"치과 병원 
치과 의원",C,"고객과의 신뢰를 바탕으로 지속적인 고객만족 지향
고객이 원하는 질 좋은 제품의 공급과 최신 정보 제공
치과 장비의 신속한 사전점검서비스(B/S) 및 A/S 제공",C,"치과 신규 개원의 박람회를 통한 신규 수요 창출
ON / OFF LINE을 통한 정보제공 및 제품 공급을 위한 유통망 구축
수입 및 국내 제조사와의 원활한 유통망 구축을 통한 신뢰 확보",C,"고객이 필요로 하는 정보 및 제품의 신속한 공급
질 좋은 서비스 제공으로 고객 만족 및 신뢰 구축
고객에 대한 세심한 배려와 관심",E,"치과 개원 컨설팅을 통한 판매 수익 창출
모든 치과 기자재 판매를 통한 판매 이익
A/S를 통한 부품 판매 및 수수료 수익 창출",C,"기존 고객과의 신뢰를 통한 만족도 극대화를 최우선 함
신제품의 정보제공 및 시연을 통한 고객의 욕구를 파악
각종 세미나 참석 권유로 인한 영업활동과의 연계로 매출 향상에 기여",B,"치과 의료기기 업체에서의 풍부한 경험과 노하우를 보유한 임직원
타사와의 차별화된 A/S를 통한 고객 만족 실현
수입회사 및 국내 제조사와의 대리점 계약을 통한 신속하고 질 좋은 제품 공급",E,"치과 기자재를 공급하는 수입회사 및 제조사
치과의사 및 병원 관리 스탭진",E,"모든 기자재의 구매비요
광고 및 홍보비용
물류 및 유통비용
인건비
영업비
사무실 임대료 및 감가상각비",D
486,㈜예일,"리모텔링을 원하는 중소상인
신종사업에 관심 있는 상가 건물 소유주 및 임대인
업종전환을 희망하는 자영업자
기존 PC방, 노래연습장을 운영하는 소상공인",B,"희망 업종에 적합한 최적의 시장 분석과 탁월한 입지 선정 능력
뛰어난 인테리어 디자인을 바탕으로 한 공간 활용 및 안벽 시공
신속한 A/S와 변화하는 시장에서의 안정적 수익을 창출할 수 있도록 적극 지원",C,"개인 인맥에 의한 소개 영업
지역 광고를 이용한 맞춤형 영업
기존 거래 업체의 소개에 의한 리퍼럴 마케팅
다수의 매장 있는 핵심지역에서 직접 운영 관리하면서 마케팅에 활용",C,"25년의 축적된 기술과 노하우로 장기적 거래
기기관리, 신곡관리, 소모품 관리로 업체와의 신뢰를 바탕으로 한 소통 능력
지역 협회 모임에 적극 참여하여 홍보
수시 방문을 통한 기술적 문제 해결을 통한 신뢰 구축",C,"직영 매장을 운영하여 얻는 수익
업체 관리로 인한 고정 수익
신곡관리, 기기 및 소모품 판매 수익
오프라인 매장의 매도에 의한 시설 권리금 수익",C,"정기 방문을 통한 시스템 점검과 진단에 의한 안정적 영업 최우선
고객에 필요한 정보제공과 시장 변화에 대비한 방향 제시
변화하는 시장 분석 능력과 향후 발전 가능 업종을 연구 개발하여 사용자에게 최적의 정보제공
신제품 발표회 및 각종 세미나 참석에 의한 유대감을 바탕으로 인적 교류 확대",C,"노래문화 및 게임 관련 사업 등 25년의 축적된 기술과 노하우를 보유한 임직원
음향기기 세팅 및 마케팅 분야는 전문가 그룹에서도 인정하는 높은 기술력",E,"설비, 타일, 전기, 소방, 도장, 간판 등 각종 인테리어 관련 시공사
컴퓨터 전문회사
TJ미디어, 금영, 서명전자 등 음향기기 전문회사",D,"고정비용 : 임대료, 상가관리비, 인건비, 광고선전비, 감가상각비
변동비용 : 재료비, 운영비, 물류유통비, 영업비, 기자재비 등",D
