고객세그먼트,label
"조달청, 정부기관, 지자체, 지방공사, 공공기관 등 발주기관
재개발/재건축 조합
건축주 (민간 기업체, 개인 건축주 등), 시행사
투자 신탁회사 등 (재무적) 투자기관",C
"건축설계사무소
건설사
공공기관(발주처: 한국토지주택공사, 서울주택도시공사, 지방주택도시공사 등)",C
"국가기관, 지방자치단체 등 공공기관
해외시장(베트남, 태국 등)",C
"(차량 구매를 목적으로 하는) 일반 고객
(차량 구매를 목적으로 하는) 개인 고객
(차량 구매를 목적으로 하는) 법인 고객",C
"교육&컨설팅: B2B, B2C- 중소기업/ 중견기업/ 대기업
컨설팅_브랜드마케팅 실행 컨설팅을 원하는 모든 기업
교육-브랜드마케팅 지식을 필요하는 모든 CEO 임원 팀장 팀원",C
"중소 유통회사 (기업특판 유통사, 온라인유통사, 수출기업)
중견기업, 대기업 (임직원 및 고객 선물 예산을 가진 기업, 기업복지몰 운영사)
모바일커머스 운영사
오픈마켓 판매사",C
"개인고객 (개인사업자)
대기업 입찰 (건설회사 등)
정부 (조달청/군납 등)
렌탈 회사 ",C
"롯데건설, 포스코 건설, 중견건설사
설비회사
관공서, LH공사 등 시행사",B
"건설사, 시행사
1차 하도급업체
전문건설업 면허 업체
건축외장패널 생산 및 시공업체
외단열 수요 업체 및 건설사",C
"선거관리위원회 국세청 지방자치단체 등
우체국, 물류 3PL, 풀필먼드사",C
"B2B 위주이며 유통사
제품 OEM을 원하는 제약사
사내 복지몰 운영 기업
조달청 등 공공기관 및 지자체
온라인몰 직영운영, 일반 소비자 ",C
"국내 중소기업 및 대기업 건설업 
 KCC
LG하우시스
한샘
한국유리
중소제조업체",C
"일반 LGP자동차 소유자 LPG 충전
제조업 공장(산업용보일러 운영중인)
LPG 도매사업자 벌크로리 운영중인",C
"건설사, 설계사무소",D
"전자제품 제조사
휴대폰제조사, 
디스플레이 모듈사 
부품 실장이 필요한 전자제품 제조 업체
5G 안테나 CABLE 모듈이 적용되는 제품 제조 업체",B
"스마트폰, 노트북, 테블렛 등 IT기기 및 장비 제조사
디스플레이, 카메라 등 모듈 제조사
5G 안테나 모듈 및 시스템 제조사
IOT 기기 제조사
자동차 및 전장 제조사
2차전지 및 전자기기 제조사",B
"LCD/OLED Display 생산 업체 ( 삼성 디스플레이, LG Display )
반도체 생산 업체 (삼성반도체, SKHynix, SFA반도체, 시노팩스 )
FPCB SMT 업체 (DKT, KCI, JMT, 삼성전기 )
신뢰성 테스트 필요한 제조업체 (QC Test 가능한 제조업체 )",A
"온전한 건강과 아름다움을 통한 행복한 생활을 원하는 자
건강 회복을 원하는 자
건강기능식품, 화장품 대리점 창업을 하고 싶어하는 자
경력단절 여성, 남성이 설계사로 일하고 싶은 자",D
"건설사, 설비회사, 건축자재 유통업체",C
"제조 공장, 투자 개발사, 건설사, 건설 시공사, 건축주, 설비회사",C
"Y존 케어에 관심있지만 방법을 모르는 국내 여성 전체
위생적이고 건강한 성 생활을 원하는 젊은 남녀
폐경으로 인한 호르몬 변화로 Y존 불편함을 호소하는 40대 여성
노화에 의한 건조함으로 Y존에 불편함이 있는 50-60대 여성
Y존 질환이 있지만 산부인과 내원에 거부감이 있는 여성
어린 자녀의 건강한 Y존케어를 원하는 엄마들",B
"건설사, 설비회사, 인테리어 (프로젝트)
동종업종 비대리점 (유통)
사업지역 근교 소비자 (소매)",C
"건설사, 시행사, 설비회사, 개인고객(온라인)",C
"리모델링을 원하는 주부나 가장
대량 납품이 가능한 도매(쿠팡, 로켓배송 납품용)",D
"현재 당사의 중요한 고객 유지
지역별로 규모 큰 유통사
종합 인테리어 회사
B2C 전문회사",C
"건설사, 토목엔지니어링, 건축사사무소, 제조사 등 설계를 필요로 하는 모든 기업
공공기관
교육기관
설계 소프트웨어를 사용하는 모든 기업, 개인",C
"건강하고 보험료 납입 능력이 있고 비위험 직군의 개인
법인을 운영하는 대표이사 및 임원
상속세 준비를 위한 부유층
증여세를 이용하게 세대 자산이연을 하고자 하는 자산가 및 건물주",C
"소매부분 : 리모델링을 원하는 고객, 주거용 건물 건축주
도매부분 : 전국 및 각 지역별로 유통관리 판매영업 (수입판매 포함)
납품 / SPEC 부분 : 건설사 및 관급공사 와 시행사 포함으로 설비회사 영업",B
"건설사, 설계사무소, 건축주",C
"금융 (은행, 증권, 보험사 등)
공공 (공공기관)
대기업 (삼성, 현대, SK 등)",B
1군 건설사 / 2군 우량건설사 / 인테리어업체 / 비대면 잠재고객,C
"소프트웨어를 보다 쉽게 사용하고 관리할 수 있는 미들웨어 제품을 필요로 하는 모든 회사
증권사, 은행, 이동통신사, 공공기관 등",B
"건설사, 설계사무소, 건축주
지자체 건축, 조경, 토목 공무원",C
"현대 신중랑 판매대리점은 현대자동차의 차량을 대리판매를 하는 사업장으로서 전국의 필요한 개인, 법인, 단체, 차동차가 필요한곳에 전국 판매망을 구축하여 판매합니다.
저희 대리점은 승용차80%와 화물차20%를 판매비율로 가지고 가는데, 시장 수요에 따라 매년 비율은 조금씩 다르며 화물차는 특수용자동차(음식물쓰레기 수거차, 폐기물 운반차, 청소차, 크레인, 견인차, 소방차, 화물운송차, 건설용수송차 등 다양한 화물차를 법규에 맞게 제작하는 일을 특장차 제작하는 공장들과 협력하여 고객들을 유도하고 정보를 제공하여 고객이 필요로 한 차들을 설계 제작하도록 하여 화물차를 판매한다.",C
"반도체, 디스플레이 설비 제조 회사 (Applied Materials, Lam research, ASM 등)
반도체, 디스플레이 제조사(삼성전자, 하이닉스, TSMC, BOE 등)",A
"시행사(물류센터관련)
건설사(롯데, 신세계, 대림, 포스코 등)
설계 및 감리(삼우, 정일, 희림, 전인등)
자산운영사(캔달스퀘어 등)",B
"중소형 슈퍼마켓.
일반 요식업소
일반 소매고객",C
"중소형 슈퍼마켓.
일반 요식업소
일반 소매고객",C
"주요 고객은 자동차 OEM업체 (Ex, 현대/기아, GM, 등 기타 자동차 메이커)
시트제조 메이커(Ex, DAS, Adient, Lear 등)
신생 전기차 진출사 (LUCID, Revian, 등)",B
"토지주, 시행사, 건설사
신탁사, 증권사, 은행
주거용, 비주거용 건물 건축주
LH, HUG, 각 시도별 도시공사, 한국산업단지공단 등 공기업
물류회사, 데이터센터를 보유한 회사
각 시도별 협동조합(재개발, 재건축, 임대사업)",B
완성차 제조사,D
"정부/투자기관
-	국토부, 환경부, 노동부 등
-	도로공사, LH, SH, 수자원공사 등
민간부문
-	민간발주자, 시행사, 재건축/재개발조합, 토지주
-	협력업체(전문업체)
-	주거시설 수분양자
상가시설 수분양자 등",C
"건설토공업체
중장비 운영업체",C
"통신 (KT, LG U+, SKT, SKB), 
대기업 (삼성, LG, 현대차, 포스코 등)
국내 보안 장비 개발사 (수산아이앤티, 엑스큐어넷, 코닉글로리, 윈스 등)
국내 공공기관 (정보자산관리원, 지자체, 국가 주요 기관 등)",A
"농자재 취급상(도매상, 소매상)
농업경영체(영농종사자, 작목반, 품목별단체)
농협(중앙회, 지역본부, 단위조합)
지자체",B
"건설사, 대형유통업체와 거래를 통해 전국 각지 소비자들의 니즈와 가치구현을 넘어 세계시장 목표",D
"주요 금융상품 판매채널: 은행, 증권 보험
주요 연기금 및 일반법인:  국내정부기관, 법인(대기업, 보험, 단체)
개인: 판매채널을 통해 판매, 펀드를 설정하여 판매채널을 통해 각 개인 및 법인에게 판매하는 방법, 그리고 직접 연기금이나 대기업집단, 각종 재단 등과 접촉해서 펀드를 판매 함.",C
건축주(토지주 및 시행사)가 주로 통합적 사업마인드를 가진 대상을 하고자 한다 ,D
"건설사
건축설계사무소
건축감리회사
CM사
시행사",C
"건설사
건재상, 타일 및 위생도기 판매점
건설자재 도매상",C
"공공기관(전산조직을 외주에 의뢰하는 공공기관)
일반 대기업, 중견기업 등의 조직 전산화를 외주에 의뢰하는 기업",C
"임가공업을 영위하는 중견, 중소기업
기업의 사무관리업무의 전산화를 필요로 하거나 개선하고자 하는 기업
시스템 유지보수를 필요로 하는 컴퓨터시스템 관리업체",B
"국내 가전회사, lg전자, 삼성전자, 해외 가전 회사
OFF-LINE 매장 중심",C
"은행업무를 이용하고자 하는 전국민(롱테일전략을 겸함)(B2C)
세그먼트는 첫 금융소비자 20대이하, 주경제인구인 3040세대, 자산보유 5060세대
신용공여가 필요한 기업(법인, 개인사업자)
수출입 금융 컨설팅이 필요한 기업",A
"공공주택 분양을 원하는 20~60대 소비자
재건축조합
업무시설공사(자사의 사옥공사를 하고자 하는 대표이사)
한국토지주택공사",C
이동통신사와 금융기업입니다,C
"고객센터(대리점) – 1차 고객
유통점(온,오프라인), 지역 판매창구(슈퍼, 목욕탕 등등)   2차 고객
우유, 발효유, 음료, 치즈를 소비하는 소비자
서울우유의 온, 오프라인 판매 : 서울우유 및 OEM공장에서 제품을 생산, 판매를 위하여 서울우유 고객센터(대리점)에 상품을 판매 혹은 위탁, 고객센터는 상품을 할당 지역 목욕탕부터 대형 유통점까지 납품, 일부의 경우 서울우유 물류 차량을 통하여 유통점 창고에 직접 배송하는 경우 있음(전국 8개 쿠팡 물류센터는 서울우유 직접 납품)",A
"오피스텔의 입주를 원하는 직장인
빌라 입주를 원하는 주부나 가장
타운하우스 입주를 희망하는 고소득 전문직",C
"분양 대행 : 건설사, 시행사, 재건축/재개발 주택 조합
부동산 개발 : 토지주, 설계사무소, 건설사",C
"솔루션 개발 목표고객 : 자동차부품제조 1차/2차벤더, 전기전자부품 제조업, 자동창고 운영업체
시스템인프라 구축 목표 고객 : 자동차손해보험사, 사단법인 손해보험사, 사단법인 생명보험사, 은행연합회 등",B
"이동통신사 (KT), 건설사",C
"건설사, 설계사무소, 토지주, 시행사
설비회사
LH공사, SH공사, 도시개발공사
직영 대리점
리모델링을 원하는 사람",C
"건설사, 설계사무소, 시행사
설비회사
LH공사, SH공사, 도시개발공사
전국에 있는 직영 대리점",C
"건설사, 설계사무소, 시행사
설비회사
LH공사, SH공사, 도시개발공사
전국에 있는 직영 대리점",C
"치과 병원 
치과 의원",C
"리모텔링을 원하는 중소상인
신종사업에 관심 있는 상가 건물 소유주 및 임대인
업종전환을 희망하는 자영업자
기존 PC방, 노래연습장을 운영하는 소상공인",B
"1군건설사 : 아파트 내부 및 공동시설, 프로젝트 적용
일반고객사 : 리모델링, 신규설치를 위한 주부, 신호부부 등
상품제조사 “ 천정재, 패널제조사 외",C
"반도체 테스트 핸들러를 포함한 반도체 및 FA 관련 설비의 개발, 제조, 판매, 서비스
코스닥 상장회사
주요고객_50% 이상 매출비중 : Micron Semiconductor Co.,Ltd, Sk Hynix Inc",C
"국가기관, 공기업, 사기업, 개인사업자",C
"주거용건물 건설사(민영건설사, SH공사, LH공사, 조달청)
재개발, 재건축관련 조합 및 시행사",C
"공공발주 : 조달청, LH공사, SH공사, 각 지방정부의 공사, 지자체, 중앙정부 등
시행사 : MDM, 신영, 인창 등 시행사
시공사 : 현대건설, 삼성물산, 대림산업, 대우건설, GS건설, 롯데건설
대기업 : 롯데쇼핑, 신세계, 이마트
재건축 조합, 재개발 조합",B
"산업자원부, 환경부 정부기관",C
"가비아
카페24 (인터넷 데이터센터)",C
"LH, SH공사 등
중대형 건설사 등
재건축, 리모델링을 준비중인 건축주",C
"다국적 기업 : 해외에 본점을 두고, 세계 여러 나라에 영업점이 있으며 한국에 진출한 기업
국내 100대 기업 : 리더십 교육이 가능한 많은 스탭 인력을 보유하고 지점,지사 등의 영업망을 갖추고 있는 회사",B
"법에 의해 외부감사가 의무화된 일정규모 이상의 주식회사
법률적 의무는 없으나 채권자, 주주, 사업파트너 등의 요구에 의해 감사서비스를 제공받고자 하는 회사
인수, 합병, 구조조정 등을 추진하는 과정에서 전문화된 실사 가치평가 등 재무 자문을 필요로 하는 법인 또는 개인
법인세, 소득세, 국제조세 등 관련 세무조정, 조사대응, 세무플랜 수립 등을 필요로 하는 법인 또는 개인",B
"교육기관(초등학교, 유치원, 어린이집)
공공기관(공공도서관, 체험관)
쇼핑몰(백화점, 의류브랜드 매장)",C
"주로 방송사, 이동통신사 및 공공기관 납품을 주로 합니다.",C
"중규모 (연면적10,000m2이상의 건물) 이상의 건물을 신축하고자 하는 욕구가 있는 고객
삼성, SK, 신세계, 롯데, 현대차, 네이버 등의 대기업 그룹사
대학교, 병원 (서울대 병원, 아산병원, 연세의료원 등)
공공기관 (세종시, 서울시, 중앙기관, 지방단체)",A
"욕실 용품 유통업체
시행사, 시공사, 중소 건설사",C
"노즐 및 밸브를 사용하는 기업
분수, 아파트 정원 공사업체
환경설비업을 하는 회사, 설계사
관공서가 운영하는 소각장, 민간운영 소각시설, 대기오염물질 발생 각종 사업장
제지공장, 시멘트 공장",B
"당사 1단계 목표 : 초중고등학교 
2단계 목표 :  B to C 이며 
3단계 목표 :  관공서 빌딩
4단계 목표 :  일반 빌딩 순입니다.
위 1단계 초,중,고등학교를 우선 목표 대상으로 잡은 이유는 자동물내림 문화를 바꾸어 가는데 있어 초,중,고등학교부터 납품 설치됨으로 습관이 바뀌고, 그 습관은 위 2단계 가정(B to C)의 문화를 바꾸게 되면서 자동물내림 문화는 다음 단계로 바뀌어 갈 수 밖에 없다고 보기 때문입니다.",C
"건설사(민영, 공영), 설계사무소, 시행사
건축자재 도소매 업체, 인테리어 업체
리모델링 주요 고객사
주거문화 개선을 추구하는 실수요자(ON라인, OFF라인)
시공회사(설비회사)
O.E.M / O.D.M 을 추구하는 회사
해외 건축자재 수입업자",C
"건설사 / 시공사, 정부사업, 설계사무소
시행사, 설계 프로그램 유저",C
